# https://raw.githubusercontent.com/thoughtspot/ts-it-public/refs/heads/main/ts_security_greynoise_ip.txt

51.159.70.42/32     #  ITS-16365     ; Added on 2022-01-24
51.195.45.190/32    #  ITS-16365     ; Added on 2022-01-24
51.195.166.171/32   #  ITS-16365     ; Added on 2022-01-24
51.255.106.85/32    #  ITS-16365     ; Added on 2022-01-24
54.37.16.241/32     #  ITS-16365     ; Added on 2022-01-24
54.146.233.218/32   #  ITS-16365     ; Added on 2022-01-24
58.220.95.218/32    #  INC0012268    ; Added on 2023-05-19
58.220.95.219/32    #  INC0012268    ; Added on 2023-05-19
58.220.95.220/32    #  INC0012268    ; Added on 2023-05-19
61.75.63.184/32     #  INC0012268    ; Added on 2023-05-19
62.102.148.0/23     #  INC0021182    ; Added on 2024-11-25
62.133.60.0/22      #  INC0021182    ; Added on 2024-11-25
62.171.142.3/32     #  ITS-16365     ; Added on 2022-01-24
64.42.179.0/24      #  INC0021182    ; Added on 2024-11-25
64.113.32.29/32     #  ITS-16365     ; Added on 2022-01-24
66.220.242.222/32   #  ITS-16365     ; Added on 2022-01-24
68.235.52.0/24      #  INC0021182    ; Added on 2024-11-25
74.119.192.0/22     #  INC0019077    ; Added on 2024-08-28
77.75.230.0/24      #  INC0019077    ; Added on 2024-08-28
77.91.68.0/24       #  INC0015465    ; Added on 2023-12-27
77.91.74.0/24       #  INC0019077    ; Added on 2024-08-09
78.128.113.110/32   #  SCTASK0010560 ; Added on 2023-01-31
79.124.62.78/32     #  SCTASK0010560 ; Added on 2023-01-31
80.64.30.0/24       #  INC0019077    ; Added on 2024-08-29
80.67.172.162/32    #  ITS-16365     ; Added on 2022-01-24
81.6.43.167/32      #  ITS-16365     ; Added on 2022-01-24
81.17.18.58/32      #  ITS-16365     ; Added on 2022-01-24
81.17.18.60/32      #  ITS-16365     ; Added on 2022-01-24
81.17.18.61/32      #  ITS-16365     ; Added on 2022-01-24
81.17.18.62/32      #  ITS-16365     ; Added on 2022-01-24
82.81.228.0/22      #  INC0019077    ; Added on 2024-08-28
82.146.55.139/32    #  ITS-16365     ; Added on 2022-01-24
82.157.140.231/32   #  INC0014304    ; Added on 2023-09-15
82.221.131.71/32    #  ITS-16365     ; Added on 2022-01-24
83.97.20.151/32     #  ITS-16365     ; Added on 2022-01-24
83.97.73.0/24       #  INC0019077    ; Added on 2024-10-08
83.149.110.185/32   #  ITS-16365     ; Added on 2022-01-24
84.54.51.0/24       #  INC0016583    ; Added on 2024-03-19
85.93.218.204/32    #  ITS-16365     ; Added on 2022-01-24
85.208.108.0/24     #  INC0019077    ; Added on 2024-08-28
85.208.109.0/24     #  INC0019077    ; Added on 2024-08-09
85.209.154.0/24     #  INC0019077    ; Added on 2024-08-09
86.104.72.0/22      #  INC0019077    ; Added on 2024-08-29
87.118.110.27/32    #  ITS-16365     ; Added on 2022-01-24
87.120.125.0/24     #  INC0019077    ; Added on 2024-10-08
87.246.7.70/32      #  SCTASK0010560 ; Added on 2023-01-31
87.250.250.145/32   #  INC0011060    ; Added on 2023-02-06
88.80.20.86/32      #  ITS-16365     ; Added on 2022-01-24
88.218.93.0/24      #  INC0019077    ; Added on 2024-08-09
89.163.154.91/32    #  ITS-16365     ; Added on 2022-01-24
89.163.249.192/32   #  ITS-16365     ; Added on 2022-01-24
89.163.249.244/32   #  ITS-16365     ; Added on 2022-01-24
89.163.252.30/32    #  ITS-16365     ; Added on 2022-01-24
89.163.252.230/32   #  ITS-16365     ; Added on 2022-01-24
89.208.106.218/32   #  INC0014161    ; Added on 2023-09-25
89.221.225.0/24     #  INC0019077    ; Added on 2024-08-09
89.234.157.254/32   #  ITS-16365     ; Added on 2022-01-24
89.236.112.100/32   #  ITS-16365     ; Added on 2022-01-24
91.92.240.0/20      #  INC0019077    ; Added on 2024-08-29
91.132.133.0/24     #  INC0019077    ; Added on 2024-08-28
91.132.134.0/24     #  INC0019077    ; Added on 2024-08-28
91.194.160.0/23     #  INC0019077    ; Added on 2024-08-28
91.207.183.0/24     #  INC0019077    ; Added on 2024-08-28
91.219.236.197/32   #  ITS-16365     ; Added on 2022-01-24
91.219.237.21/32    #  ITS-16365     ; Added on 2022-01-24
91.221.57.179/32    #  ITS-16365     ; Added on 2022-01-24
91.225.217.0/24     #  INC0019077    ; Added on 2024-08-09
91.228.10.0/24      #  INC0019077    ; Added on 2024-08-09
91.250.242.12/32    #  ITS-16365     ; Added on 2022-01-24
92.53.65.0/24       #  INC0019077    ; Added on 2024-08-29
92.119.176.0/22     #  INC0021182    ; Added on 2024-11-25
92.246.84.133/32    #  ITS-16365     ; Added on 2022-01-24
94.131.8.0/24       #  INC0019077    ; Added on 2024-08-09
94.131.13.0/24      #  INC0019077    ; Added on 2024-08-09
94.131.96.0/20      #  INC0019077    ; Added on 2024-08-29
94.131.122.0/24     #  INC0019077    ; Added on 2024-08-09
94.142.241.194/32   #  ITS-16365     ; Added on 2022-01-24
94.156.64.0/21      #  INC0019077    ; Added on 2024-08-29
94.228.169.123/32   #  INC0014161    ; Added on 2023-09-25
94.230.208.147/32   #  ITS-16365     ; Added on 2022-01-24
94.230.208.148/32   #  ITS-16365     ; Added on 2022-01-24
94.232.40.0/22      #  INC0019077    ; Added on 2024-08-29
94.232.44.85/32     #  INC0015465    ; Added on 2023-12-26
94.232.45.0/24      #  INC0019077    ; Added on 2024-09-18
94.232.47.0/24      #  INC0019077    ; Added on 2024-08-29
94.232.244.0/22     #  INC0019077    ; Added on 2024-08-29
95.164.0.0/21       #  INC0019077    ; Added on 2024-08-29
95.164.16.0/22      #  INC0019077    ; Added on 2024-09-18
95.164.21.0/24      #  INC0019077    ; Added on 2024-08-28
95.164.44.0/24      #  INC0019077    ; Added on 2024-08-09
95.164.61.0/24      #  INC0019077    ; Added on 2024-08-09
95.164.62.0/24      #  INC0019077    ; Added on 2024-08-09
95.164.112.0/21     #  INC0019077    ; Added on 2024-09-18
95.168.0.0/19       #  INC0019077    ; Added on 2024-08-28
95.216.145.1/32     #  ITS-16365     ; Added on 2022-01-24
101.6.15.130/32     #  INC0011060    ; Added on 2023-02-06
103.56.61.139/32    #  INC0012001    ; Added on 2023-04-25
103.106.0.0/24      #  INC0019077    ; Added on 2024-08-28
